split,WELL_GROUP_NAME,WELL_NAME,首日,末日,跨度天数,有记录天数,LIQ_PROD_DAILY_有效天数,LIQ_PROD_DAILY_跨度覆盖率,OIL_PROD_DAILY_有效天数,OIL_PROD_DAILY_跨度覆盖率,WATER_CUT_有效天数,WATER_CUT_跨度覆盖率,WH_TEMP_有效天数,WH_TEMP_跨度覆盖率,MAX_TUBING_PRES_有效天数,MAX_TUBING_PRES_跨度覆盖率
train,G071,W319,2025-03-01,2026-02-28,365,363,333,0.9123287671232877,333,0.9123287671232877,333,0.9123287671232877,333,0.9123287671232877,363,0.9945205479452055
train,G072,W196,2025-03-01,2025-08-31,184,184,101,0.5489130434782609,101,0.5489130434782609,101,0.5489130434782609,101,0.5489130434782609,171,0.9293478260869565
train,G072,W320,2025-03-01,2026-02-28,365,363,321,0.8794520547945206,321,0.8794520547945206,321,0.8794520547945206,321,0.8794520547945206,363,0.9945205479452055
train,G073,W321,2025-03-01,2026-02-28,365,363,360,0.9863013698630136,360,0.9863013698630136,360,0.9863013698630136,360,0.9863013698630136,362,0.9917808219178083
train,G074,W322,2025-03-01,2026-02-28,365,363,311,0.852054794520548,311,0.852054794520548,311,0.852054794520548,311,0.852054794520548,359,0.9835616438356164
train,G075,W067,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,70,0.3804347826086957
train,G075,W083,2025-03-01,2025-09-24,208,208,188,0.9038461538461539,188,0.9038461538461539,188,0.9038461538461539,188,0.9038461538461539,208,1.0
train,G075,W323,2025-03-01,2026-02-28,365,363,328,0.8986301369863013,328,0.8986301369863013,328,0.8986301369863013,328,0.8986301369863013,363,0.9945205479452055
train,G076,W191,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
train,G076,W193,2025-03-01,2025-08-31,184,184,102,0.5543478260869565,102,0.5543478260869565,102,0.5543478260869565,102,0.5543478260869565,172,0.9347826086956522
train,G076,W324,2025-03-01,2026-02-28,365,363,330,0.9041095890410958,330,0.9041095890410958,330,0.9041095890410958,330,0.9041095890410958,363,0.9945205479452055
train,G077,W325,2025-03-01,2026-02-28,365,363,310,0.8493150684931506,310,0.8493150684931506,310,0.8493150684931506,310,0.8493150684931506,363,0.9945205479452055
train,G078,W072,2025-03-01,2025-08-31,184,184,101,0.5489130434782609,101,0.5489130434782609,101,0.5489130434782609,101,0.5489130434782609,171,0.9293478260869565
train,G078,W326,2025-03-01,2026-02-28,365,363,332,0.9095890410958904,332,0.9095890410958904,332,0.9095890410958904,332,0.9095890410958904,362,0.9917808219178083
train,G079,W327,2025-03-01,2026-02-28,365,363,358,0.9808219178082191,358,0.9808219178082191,358,0.9808219178082191,358,0.9808219178082191,363,0.9945205479452055
train,G079,W338,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,207,0.5671232876712329
train,G080,W328,2025-03-01,2026-02-28,365,363,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,363,0.9945205479452055
train,G080,W334,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,278,0.7616438356164383
train,G081,W329,2025-03-01,2026-02-28,365,363,348,0.9534246575342465,348,0.9534246575342465,348,0.9534246575342465,348,0.9534246575342465,362,0.9917808219178083
train,G081,W334,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,278,0.7616438356164383
train,G081,W335,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,340,0.9315068493150684
train,G082,W330,2025-03-01,2026-02-28,365,363,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,363,0.9945205479452055
train,G082,W336,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,276,0.7561643835616438
train,G083,W086,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
train,G083,W199,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
train,G083,W200,2025-03-01,2025-09-24,208,208,207,0.9951923076923077,207,0.9951923076923077,207,0.9951923076923077,207,0.9951923076923077,208,1.0
train,G083,W203,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G083,W331,2025-03-01,2026-02-28,365,363,357,0.9780821917808219,357,0.9780821917808219,357,0.9780821917808219,357,0.9780821917808219,363,0.9945205479452055
train,G084,W332,2025-03-01,2026-02-28,365,363,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,363,0.9945205479452055
train,G084,W337,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,110,0.3013698630136986
train,G085,W333,2025-03-01,2026-02-28,365,363,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,362,0.9917808219178083,363,0.9945205479452055
train,G085,W337,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,110,0.3013698630136986
train,G086,W338,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,207,0.5671232876712329
train,G086,W339,2025-03-01,2026-02-28,365,363,347,0.9506849315068493,347,0.9506849315068493,347,0.9506849315068493,347,0.9506849315068493,361,0.989041095890411
train,G087,W207,2025-03-01,2025-09-24,208,208,208,1.0,208,1.0,208,1.0,208,1.0,208,1.0
train,G087,W340,2025-03-01,2026-02-28,365,363,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055,363,0.9945205479452055
train,G088,W065,2025-03-01,2025-09-24,208,208,183,0.8798076923076923,183,0.8798076923076923,183,0.8798076923076923,183,0.8798076923076923,199,0.9567307692307693
train,G088,W341,2025-03-01,2026-02-28,365,363,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,363,0.9945205479452055
train,G089,W033,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,20,0.10869565217391304
train,G089,W034,2025-03-01,2025-09-24,208,208,0,0.0,0,0.0,0,0.0,0,0.0,208,1.0
train,G089,W342,2025-03-01,2026-02-28,365,363,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,363,0.9945205479452055
train,G090,W343,2025-03-01,2026-02-28,365,363,356,0.9753424657534246,356,0.9753424657534246,356,0.9753424657534246,356,0.9753424657534246,361,0.989041095890411
train,G091,W038,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
train,G091,W352,2025-03-01,2026-02-28,365,363,331,0.9068493150684932,331,0.9068493150684932,331,0.9068493150684932,331,0.9068493150684932,363,0.9945205479452055
train,G092,W037,2025-03-01,2025-09-24,208,208,166,0.7980769230769231,166,0.7980769230769231,166,0.7980769230769231,0,0.0,0,0.0
train,G092,W353,2025-03-01,2026-02-28,365,363,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,363,0.9945205479452055
train,G093,W035,2025-03-01,2025-08-31,184,184,0,0.0,0,0.0,0,0.0,0,0.0,184,1.0
train,G093,W354,2025-03-01,2026-02-28,365,363,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,361,0.989041095890411,363,0.9945205479452055
train,G094,W355,2025-03-01,2026-02-28,365,363,301,0.8246575342465754,301,0.8246575342465754,301,0.8246575342465754,301,0.8246575342465754,361,0.989041095890411
train,G095,W356,2025-03-01,2026-02-28,365,363,294,0.8054794520547945,294,0.8054794520547945,294,0.8054794520547945,294,0.8054794520547945,363,0.9945205479452055
train,G096,W357,2025-03-01,2026-02-28,365,363,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,363,0.9945205479452055
train,G097,W358,2025-03-01,2026-02-28,365,363,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,363,0.9945205479452055
train,G098,W359,2025-03-01,2026-02-28,365,363,340,0.9315068493150684,340,0.9315068493150684,340,0.9315068493150684,340,0.9315068493150684,340,0.9315068493150684
train,G099,W360,2025-03-01,2026-02-28,365,363,344,0.9424657534246575,344,0.9424657534246575,344,0.9424657534246575,344,0.9424657534246575,344,0.9424657534246575
train,G100,W361,2025-03-01,2026-02-28,365,363,326,0.8931506849315068,326,0.8931506849315068,326,0.8931506849315068,326,0.8931506849315068,326,0.8931506849315068
train,G101,W362,2025-03-01,2026-02-28,365,363,338,0.9260273972602739,338,0.9260273972602739,338,0.9260273972602739,338,0.9260273972602739,363,0.9945205479452055
train,G101,W363,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,361,0.989041095890411
train,G102,W363,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,361,0.989041095890411
train,G102,W364,2025-03-01,2026-02-28,365,363,324,0.8876712328767123,324,0.8876712328767123,324,0.8876712328767123,324,0.8876712328767123,360,0.9863013698630136
train,G102,W365,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,359,0.9835616438356164
train,G103,W365,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,359,0.9835616438356164
train,G103,W366,2025-03-01,2026-02-28,365,363,310,0.8493150684931506,310,0.8493150684931506,310,0.8493150684931506,310,0.8493150684931506,360,0.9863013698630136
train,G104,W367,2025-03-01,2026-02-28,365,363,327,0.8958904109589041,327,0.8958904109589041,327,0.8958904109589041,327,0.8958904109589041,363,0.9945205479452055
train,G104,W368,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,361,0.989041095890411
train,G105,W368,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,361,0.989041095890411
train,G105,W369,2025-03-01,2026-02-28,365,363,225,0.6164383561643836,225,0.6164383561643836,225,0.6164383561643836,225,0.6164383561643836,363,0.9945205479452055
train,G105,W370,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,360,0.9863013698630136
train,G106,W370,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,360,0.9863013698630136
train,G106,W371,2025-03-01,2026-02-28,365,363,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,329,0.9013698630136986,363,0.9945205479452055
train,G107,W372,2025-03-01,2026-02-28,365,363,348,0.9534246575342465,348,0.9534246575342465,348,0.9534246575342465,348,0.9534246575342465,363,0.9945205479452055
train,G107,W373,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,362,0.9917808219178083
train,G108,W373,2025-03-01,2026-02-28,365,363,0,0.0,0,0.0,0,0.0,0,0.0,362,0.9917808219178083
train,G108,W374,2025-03-01,2026-02-28,365,363,337,0.9232876712328767,337,0.9232876712328767,337,0.9232876712328767,337,0.9232876712328767,360,0.9863013698630136
